City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Harper,LR,4.375,-7.7169,75.85,91,100,4.68
169,Carballo,ES,43.213,-8.691,62.29,90,89,9.69
170,Bournemouth,GB,50.7205,-1.8795,55.76,86,0,12.44
171,Bukama,CD,-9.2,25.85,72.57,63,100,2.73
172,Sakakah,SA,29.9697,40.2064,77.09,19,0,5.06
173,Padina,RS,45.1181,20.7272,49.51,74,100,6.78
174,Gardiner,US,44.2301,-69.7753,59.4,96,100,0.0
175,Chokurdakh,RU,70.6333,147.9167,21.4,89,97,8.1
176,Bulgan,MN,48.8125,103.5347,35.85,32,93,4.45
177,Roros,NO,62.5747,11.3842,31.84,93,17,3.44
178,Sisimiut,GL,66.9395,-53.6735,30.6,88,99,6.89
179,Bengkulu,ID,-3.8004,102.2655,81.46,68,23,1.19
180,Mar Del Plata,AR,-38.0023,-57.5575,59.09,87,100,1.01
181,Aykhal,RU,66.0,111.5,19.96,94,79,8.48
182,Tiruchchendur,IN,8.4833,78.1167,82.69,72,100,8.68
183,Corinto,GR,37.9407,22.9573,61.9,60,0,5.53
184,Cockburn Town,TC,21.4612,-71.1419,83.46,74,100,12.66
185,Hailar,CN,49.2,119.7,37.92,36,9,8.14
186,Keti Bandar,PK,24.1447,67.4497,80.56,75,73,9.84
187,Nueva Concepcion,GT,14.2,-91.3,76.26,89,100,3.2
188,Acari,PE,-15.4311,-74.6158,63.82,71,33,4.83
189,Sur,OM,22.5667,59.5289,81.55,56,0,3.74
190,Lishan,CN,31.8576,113.2951,47.95,92,100,7.83
191,San-Pedro,CI,4.7485,-6.6363,74.05,95,88,4.03
192,Washington,US,47.5001,-120.5015,70.48,46,7,3.06
193,Constitucion,CL,-35.3333,-72.4167,49.17,87,75,5.66
194,Dymer,UA,50.7865,30.3026,52.84,83,100,10.67
195,General Roca,AR,-39.0333,-67.5833,60.62,34,19,21.59
196,Bongandanga,CD,1.5,21.05,68.7,95,100,1.36
197,Avera,US,33.194,-82.5271,58.91,38,63,1.88
198,Alofi,NU,-19.0595,-169.9187,77.23,80,79,15.99
199,Marquette,US,46.5333,-87.6335,61.77,84,89,7.23
200,Saint George,US,37.1041,-113.5841,82.94,23,9,1.99
201,Antsirabe,MG,-19.85,47.0333,50.59,43,0,4.12
202,Seoul,KR,37.5683,126.9778,65.59,63,50,2.53
203,San Francisco,US,37.7749,-122.4194,80.46,83,8,11.01
204,Ixtapa,MX,20.7,-105.2,75.54,93,52,1.21
205,Antofagasta,CL,-23.65,-70.4,58.28,60,0,9.15
206,Mayo,US,38.8876,-76.5119,60.58,94,99,1.01
207,Saskylakh,RU,71.9167,114.0833,10.35,96,94,5.5
208,Camocim,BR,-2.9022,-40.8411,77.77,84,5,13.65
209,Balkanabat,TM,39.5108,54.3671,69.12,11,0,9.37
210,Verkhnyaya Toyma,RU,62.2349,44.9985,45.23,96,100,2.48
211,Ancud,CL,-41.8697,-73.8203,48.02,86,95,10.89
212,Estrela,BR,-28.0611,-50.9383,58.41,90,100,7.58
213,Mastic Beach,US,40.7668,-72.8521,61.05,96,75,4.61
214,Moundou,TD,8.5667,16.0833,72.14,92,98,1.61
215,Guerrero Negro,MX,27.9769,-114.0611,70.59,78,0,11.9
216,Santo Antonio Do Leverger,BR,-15.8656,-56.0767,79.34,59,8,3.76
217,Sobolevo,RU,54.4299,31.8996,44.89,97,82,6.29
218,Wawa,NG,9.9022,4.4192,76.14,85,100,2.48
219,Pingliang,CN,35.5392,106.6861,51.49,69,100,3.22
220,Kota Belud,MY,6.351,116.4305,85.26,63,89,3.94
221,Vila Velha,BR,-20.3297,-40.2925,71.83,92,84,5.46
222,Waris Aliganj,IN,25.0167,85.6333,80.4,82,75,6.08
223,Saint-Pierre,RE,-21.3393,55.4781,64.08,68,0,5.75
224,Agirish,RU,61.9247,63.0231,41.92,83,98,5.01
225,Zyryanka,RU,65.75,150.85,20.35,89,100,27.69
226,Ypsonas,CY,34.6884,32.9574,65.37,52,20,1.14
227,Miyako,JP,39.6367,141.9525,58.23,48,100,7.45
228,Meulaboh,ID,4.1363,96.1285,77.4,86,88,2.48
